company,city,state,latitude,longitude
Altor Solutions,Northbridge,MA,42.145,-71.652
Altor Solutions,Bloomsburg,PA,41.0037,-76.4541
Altor Solutions,Anderson,SC,34.5034,-82.6501
Altor Solutions,Jefferson,GA,34.1176,-83.5724
Altor Solutions,Gnadenhutten,OH,40.3584,-81.4401
Altor Solutions,New Albany,IN,38.2856,-85.8241
Altor Solutions,Jackson,TN,35.6145,-88.8139
Altor Solutions,Plymouth,WI,43.7472,-87.9779
Altor Solutions,Fort Madison,IA,40.6292,-91.3143
Altor Solutions,El Dorado Springs,MO,37.8762,-94.0184
Altor Solutions,Keller,TX,32.9343,-97.251
Altor Solutions,Modesto,CA,37.6391,-120.9969
Altor Solutions,Compton,CA,33.8958,-118.2207
Altor Solutions,St. Louis,MO,38.627,-90.1994
Altor Solutions,St. Rosa Jaurequi (Queretaro),Queretaro,20.6786,-100.4226
Altor Solutions,St. Rosa Jaurequi (Baja California),BC,32.5027,-117.0037
Altor Solutions,Belcamp,MD,39.4732,-76.2324
Altor Solutions,Rome,GA,34.257,-85.1647
Altor Solutions,North Andover,MA,42.6987,-71.1351
Altor Solutions,St. Petersburg,FL,27.7704,-82.6793
Altor Solutions,Waxahachie,TX,32.3865,-96.8483
Altor Solutions,Vernon,CA,34.0039,-118.2302
Altor Solutions,Huntington Beach,CA,33.6595,-117.9988
